model,mlir_baseline,pytorch_eager,pytorch_jit,mlir_rl_v0,mlir_rl_v45,v0_speedup,v45_speedup,count,v0_speedup_calc,v45_speedup_calc,pytorch_eager_speedup,pytorch_jit_speedup
Bench 2385,613152529.0,1022602595.0,1023468881.0,1470096273.0,1960994243.0,0.4171,0.3127,1,0.4170832483975694,0.31267431364917064,0.599600012749821,0.5990924984459787
Bench 2388,5405373.0,45656.0,53564.0,27721764.0,6118481.0,0.195,0.8835,1,0.1949866177347156,0.8834501569915801,118.39348606973891,100.91428944813681
Bench 2389,49120056.0,8520508.0,8560976.0,113817176.0,115296769.0,0.4316,0.426,1,0.4315698010289765,0.42603150483774616,5.764921058697439,5.737670097428143
Bench 239,1642499.0,35762.0,44251.0,30930655.0,5432916.0,0.0531,0.3023,1,0.053102625857745334,0.3023236508718338,45.92861137520273,37.117782648979684
Bench 240,75916657.0,67618278.0,67643489.0,226942836.0,272852279.0,0.3345,0.2782,1,0.3345188521394877,0.27823354555891394,1.1227239031434666,1.1223054594360147
Bench 2408,1024302509.0,31153.0,39967.0,452446794.0,4194255244.0,2.2639,0.2442,1,2.263918150340568,0.24421558761005152,32879.73899784932,25628.706407786423
Bench 2409,1056280624.0,18326292.0,18327080.0,87910463.0,2157869666.0,12.0154,0.4895,1,12.015414183406133,0.4895015860517685,57.63744373384425,57.634965526423194
Bench 241,89757188.0,63468760.0,63489798.0,174640728.0,671100504.0,0.514,0.1337,1,0.5139533545691587,0.13374626820426289,1.4141947629038285,1.413726154869795
Bench 2442,21537843.0,304588.0,349452.0,49081508.0,21669305.0,0.4388,0.9939,1,0.43881787413703754,0.9939332618189647,70.71139703468292,61.63319425843893
Bench 2451,677215.0,50103.0,60220.0,53203895.0,5658128.0,0.0127,0.1197,1,0.012728673342431038,0.11968887943150101,13.516456100433107,11.245682497509133
Bench 2455,110564.0,5147.0,10329.0,59417974.0,208771.0,0.0019,0.5296,1,0.0018607837419700646,0.5295946276063246,21.481251214299593,10.704230806467228
Bench 2460,2401062.0,1453336.0,1462025.0,18071994.0,3831266.0,0.1329,0.6267,1,0.13286093388477221,0.6267019831042794,1.6521038493507352,1.6422851866418153
Bench 2464,437771549.0,3023670.0,3027987.0,84635902.0,420160177.0,5.1724,1.0419,1,5.172409564442286,1.0419158524868957,144.78152344667242,144.57510847965992
Bench 2475,6860457375.0,22331464.0,23172399.0,1144078783.0,25048301698.0,5.9965,0.2739,1,5.996490343969607,0.2738891226125633,307.21037254879485,296.06159357949946
Bench 2478,5469855.0,52138.0,61108.0,28598440.0,25727192.0,0.1913,0.2126,1,0.19126410391615767,0.21260987207620638,104.91110130806705,89.51127511946062
Bench 2488,250177578.0,1617050.0,1602904.0,38964005.0,271034071.0,6.4207,0.923,1,6.420735702092226,0.9230484458169836,154.71233295198047,156.0777052150347
Bench 2493,152058842.0,612407604.0,612325545.0,183291683.0,548313974.0,0.8296,0.2773,1,0.8296003370758508,0.27732074907870213,0.24829678960028068,0.24833006436143376
Bench 2495,9948599.0,45440.0,52960.0,82494248.0,35965540.0,0.1206,0.2766,1,0.12059748699085056,0.27661475401175684,218.93923855633804,187.85118957703926
Bench 2497,65616570.0,30303.0,38802.0,55520639.0,93476335.0,1.1818,0.702,1,1.1818410447329326,0.7019591643168295,2165.3489753489753,1691.0615432194218
Bench 2503,60265678.0,2544354.0,2527316.0,163582209.0,112307391.0,0.3684,0.5366,1,0.3684121786128955,0.536613641038104,23.686042901262955,23.845723289054476
Bench 2504,31760789.0,26057346.0,26163910.0,66917311.0,61302990.0,0.4746,0.5181,1,0.4746273949949961,0.5180952674575906,1.2188804262721153,1.2139160010869936
Bench 2507,74848902.0,31913640.0,31955080.0,309916469.0,120182953.0,0.2415,0.6228,1,0.2415131478540432,0.6227913371374724,2.3453577216513066,2.3423162138852414
Bench 2509,224255081.0,441721.0,449824.0,180244803.0,716743609.0,1.2442,0.3129,1,1.244169469895895,0.3128804752272301,507.6848983860853,498.5396088247848
Bench 2518,2020274422.0,45381.0,51915.0,1083038309.0,12548756289.0,1.8654,0.161,1,1.8653766955532503,0.16099399617561574,44518.0675172429,38915.042319175576
